Scenario,Scene,PromptText
PastNegative,Bathroom,[Freshen up with the items at the sink]
PastNegative,Bathroom,[Press TRIGGER button to leave the toilet]
PastNegative,Stall,[Press TRIGGER to move to customer area]
PastNegative,Stall,[Take the cash and put it in the cash register]
PastNegative,Stall,[Hold chicken with left hand and chop with right hand]
PastNegative,Stall,[Take a plaster and clean your wound]
PastNegative,Stall,[Take the tray and give it to the customer]
PastNegative,Stall,[Take the cloth and clean up your mess]
PastNegative,Family,[Put the last of the food into Sean’s bowl]
PastNegative,Family,[Put your hand on your son’s shoulder and reassure him]
PastNegative,Family,[Help your son turn on the water tap in the kitchen]
PastPositive,Bathroom,[Freshen up with the items at the sink]
PastPositive,Bathroom,[Press TRIGGER button to leave the toilet]
PastPositive,Stall,[Hold chicken with left hand and chop with right hand]
PastPositive,Stall,[Put the chicken on the plates]
PastPositive,Stall,[Carry the tray to the customer]
PastPositive,Family,[Pick your son up]
PastPositive,Family,[Put your son down]
